Date,Price
2012-01-12,343.75
2012-01-13,327.25
2012-01-16,322.656006
2012-01-17,331.25
2012-01-18,330.5
2012-01-19,327
2012-01-20,324.5
2012-01-23,323.75
2012-01-24,327.25
2012-01-25,329.375
2012-01-27,337.75
2012-01-30,337.362
2012-01-31,339
2012-02-01,342.462006
2012-02-02,342.513
2012-02-03,342.506012
2012-02-06,350.638
2012-02-07,350.625
2012-02-08,343.5
2012-02-09,343.625
2012-02-10,349.875
2012-02-13,346.906006
2012-02-14,347
2012-02-15,351.875
2012-02-16,358
2012-02-17,364.531006
2012-02-21,366.25
2012-02-22,363.149994
2012-02-23,367.375
2012-02-24,366.5
2012-02-27,370.625
2012-02-28,360.75
2012-02-29,361.75
2012-03-01,356.444
2012-03-02,358.125
2012-03-03,357
2012-03-05,357.263
2012-03-06,350.638
2012-03-07,355.25
2012-03-09,361.75
2012-03-12,364.375
2012-03-13,355.493988
2012-03-14,361.25
2012-03-15,361.875
2012-03-16,363.125
2012-03-19,361.875
2012-03-20,353.25
2012-03-21,354.056
2012-03-22,359.25
2012-03-23,354.125
2012-03-26,358.625
2012-03-27,357.5
2012-03-28,358.25
2012-03-29,352.562012
2012-03-30,351.237
2012-04-02,358
2012-04-03,358.287994
2012-04-04,356.125
2012-04-09,354.687988
2012-04-10,355.25
2012-04-11,346.118988
2012-04-12,352.843994
2012-04-13,314.75
2012-04-16,300
2012-04-17,299.875
2012-04-18,300
2012-04-19,297.487
2012-04-20,299.343994
2012-04-23,298.75
2012-04-24,288.830994
2012-04-25,293.712006
2012-04-26,293.75
2012-04-27,294.625
2012-04-30,299
2012-05-02,308.125
2012-05-03,307.5
2012-05-04,310.25
2012-05-07,301.125
2012-05-08,299.375
2012-05-09,296
2012-05-10,296
2012-05-11,293
2012-05-14,290.024994
2012-05-15,288.125
2012-05-16,297.25
2012-05-17,296.056
2012-05-18,290.669006
2012-05-21,298.112
2012-05-22,294.375
2012-05-23,294.375
2012-05-24,293.625
2012-05-25,295.375
2012-05-28,299.25
2012-05-29,298.875
2012-05-30,300.875
2012-05-31,301
2012-06-01,301.875
2012-06-04,296.75
2012-06-05,298.125
2012-06-06,299.649994
2012-06-07,306
2012-06-08,311.112
2012-06-11,303.375
2012-06-12,300.274994
2012-06-13,306.406006
2012-06-14,307.625
2012-06-15,313.756012
2012-06-18,316.875
2012-06-19,312.5
2012-06-20,310
2012-06-21,307
2012-06-22,306.218994
2012-06-25,309.362
2012-06-26,306.638
2012-06-27,306.5
2012-06-28,308.125
2012-06-29,311.75
