Date,Price
2012-03-06,337.5
2012-03-07,340
2012-03-09,342.399994
2012-03-12,342.5
2012-03-13,333.274994
2012-03-14,331.575012
2012-03-15,334.899994
2012-03-16,327.399994
2012-03-19,342
2012-03-20,344
2012-03-21,342.450012
2012-03-22,348.700012
2012-03-23,343
2012-03-26,342.024994
2012-03-27,346.5
2012-03-28,340.549988
2012-03-29,337.5
2012-03-30,340.5
2012-04-02,353.825012
2012-04-03,357.100006
2012-04-04,350.5
2012-04-09,346
2012-04-10,343.75
2012-04-11,345
2012-04-12,346.299988
2012-04-13,349
2012-04-16,344.5
2012-04-17,341.5
2012-04-18,343.5
2012-04-19,349.450012
2012-04-20,352.5
2012-04-23,362.5
2012-04-24,357.049988
2012-04-25,355.25
2012-04-26,354.399994
2012-04-27,352.75
2012-04-30,359.350006
2012-05-02,357.5
2012-05-03,355.899994
2012-05-04,349.375
2012-05-07,340
2012-05-08,347.25
2012-05-09,334.100006
2012-05-10,326.799988
2012-05-11,327
2012-05-14,328
2012-05-15,325.125
2012-05-16,320
2012-05-17,330.899994
2012-05-18,314
2012-05-21,318.125
2012-05-22,325.575012
2012-05-23,319.225006
2012-05-24,324.25
2012-05-25,325
2012-05-28,320.174988
2012-05-29,328.274994
2012-05-30,327.5
2012-05-31,327.299988
2012-06-01,325
2012-06-04,319.950012
2012-06-05,326
2012-06-06,330.024994
2012-06-07,337.825012
2012-06-08,347
2012-06-11,346.5
2012-06-12,337.5
2012-06-13,345.049988
2012-06-14,342.399994
2012-06-15,343
2012-06-18,351.5
2012-06-19,345.5
2012-06-20,349.5
2012-06-21,344.575012
2012-06-22,344
2012-06-25,350.700012
2012-06-26,344
2012-06-27,348.5
2012-06-28,348.5
2012-06-29,350
2012-07-02,354.5
2012-07-03,359.5
2012-07-04,360
2012-07-05,358.5
2012-07-06,361.024994
2012-07-09,364.200012
2012-07-10,365
2012-07-11,364.450012
2012-07-12,360
2012-07-13,359.274994
2012-07-16,360
2012-07-17,360.524994
2012-07-18,355.475006
2012-07-19,357.5
2012-07-20,353.5
2012-07-23,349
2012-07-24,346.75
2012-07-25,343
2012-07-26,343.450012
2012-07-27,347.899994
2012-07-30,345.25
2012-07-31,352.625
2012-08-01,352.25
2012-08-02,347.5
2012-08-03,345.5
2012-08-06,345.649994
2012-08-07,348.125
2012-08-08,350.25
2012-08-09,364.450012
2012-08-10,371
2012-08-13,369
2012-08-14,367.625
2012-08-16,374
2012-08-17,383
2012-08-21,385
2012-08-22,390.950012
2012-08-23,393.5
2012-08-24,382.5
2012-08-27,382.5
2012-08-28,386.549988
2012-08-29,386
2012-08-30,384.5
2012-08-31,384.125
2012-09-03,384.475006
2012-09-04,378.399994
2012-09-05,379.149994
2012-09-06,375.25
2012-09-07,384.950012
2012-09-08,382
2012-09-10,382
2012-09-11,380.049988
2012-09-12,383
2012-09-13,380.100006
2012-09-14,380
2012-09-17,394.899994
2012-09-18,394.975006
2012-09-20,393.125
2012-09-21,396.924988
2012-09-24,406
2012-09-25,421.149994
2012-09-26,421.625
2012-09-27,425.950012
2012-09-28,426.875
2012-10-01,432
2012-10-03,432.850006
2012-10-04,436
2012-10-05,430.5
2012-10-08,434.5
2012-10-09,435
2012-10-10,430.5
2012-10-11,426.5
2012-10-12,425
2012-10-15,428
2012-10-16,430
2012-10-17,416.899994
2012-10-18,415.125
2012-10-19,419
2012-10-22,410.875
2012-10-23,419.5
2012-10-25,416.375
2012-10-29,441.450012
2012-10-30,446.225006
2012-10-31,438
2012-11-01,443.5
2012-11-02,454.950012
2012-11-05,459
2012-11-06,453
2012-11-07,457.5
2012-11-08,455.075012
2012-11-09,457.049988
2012-11-11,457
2012-11-12,456.5
2012-11-15,451
2012-11-16,449
2012-11-19,447.5
2012-11-20,456.350006
2012-11-21,471.399994
2012-11-22,473.049988
2012-11-23,477.625
2012-11-26,478.850006
2012-11-27,464.125
2012-11-29,464.5
2012-11-30,467
2012-12-03,474.950012
2012-12-04,477
2012-12-05,470.625
2012-12-06,467.25
2012-12-07,465.25
2012-12-10,471
2012-12-11,465.024994
2012-12-12,466.174988
2012-12-13,475.024994
2012-12-14,470
2012-12-17,470
2012-12-18,483.25
2012-12-19,487.5
2012-12-20,485.5
2012-12-21,475.5
2012-12-24,473
2012-12-26,468.850006
2012-12-27,472.350006
2012-12-28,467.5
2012-12-31,462
2013-01-01,468.5
2013-01-02,472.5
2013-01-03,471.5
2013-01-04,466.325012
2013-01-07,473.899994
2013-01-08,478.5
2013-01-09,479
2013-01-10,484.899994
2013-01-11,481.649994
2013-01-14,467.774994
2013-01-15,471.200012
2013-01-16,465.049988
2013-01-17,450.125
2013-01-18,452.125
2013-01-21,443.049988
2013-01-22,440
2013-01-23,442.024994
2013-01-24,440.924988
2013-01-25,440
2013-01-28,451.524994
2013-01-29,452.5
2013-01-30,451.125
2013-01-31,447
2013-02-01,443.524994
2013-02-04,444.125
2013-02-05,438.174988
2013-02-06,444.625
2013-02-07,441.125
2013-02-08,450
2013-02-11,445
2013-02-12,440.625
2013-02-13,442.950012
2013-02-14,449.450012
2013-02-15,448.600006
2013-02-18,447.524994
2013-02-19,446
2013-02-20,452.524994
2013-02-21,447
2013-02-22,442.625
2013-02-25,448.5
2013-02-26,446.5
2013-02-27,433.5
2013-02-28,447.625
2013-03-01,436.5
2013-03-04,441.600006
2013-03-05,442.600006
2013-03-06,448.25
2013-03-07,435.5
2013-03-08,447.350006
2013-03-11,452.950012
2013-03-12,457.5
2013-03-13,456.774994
2013-03-14,454.549988
2013-03-15,457.774994
2013-03-18,459.950012
2013-03-19,460
2013-03-20,438.600006
2013-03-21,437.5
2013-03-22,445.5
2013-03-25,438.75
2013-03-26,430.125
2013-03-28,433.125
2013-04-01,431.5
2013-04-02,431
2013-04-03,430.5
2013-04-04,419.549988
2013-04-05,422.649994
2013-04-08,421
2013-04-09,422
2013-04-10,421
2013-04-11,416.649994
2013-04-12,412.5
2013-04-15,408.799988
2013-04-16,407
2013-04-17,422.5
2013-04-18,439.049988
2013-04-22,454.600006
2013-04-23,449.399994
2013-04-25,445
2013-04-26,452.5
2013-04-29,447.5
2013-04-30,451.174988
2013-05-02,456.950012
2013-05-03,476.25
2013-05-06,477.549988
2013-05-07,480.575012
2013-05-08,481.625
2013-05-09,472.274994
2013-05-10,473.125
2013-05-13,482
2013-05-14,477.625
2013-05-15,476.625
2013-05-16,490
2013-05-17,490.049988
2013-05-20,492.299988
2013-05-21,501
2013-05-22,496.25
2013-05-23,487.75
2013-05-24,482.549988
2013-05-27,483.075012
2013-05-28,476
2013-05-29,488.25
2013-05-30,477.674988
2013-05-31,502.299988
2013-06-03,479.125
2013-06-04,489
2013-06-05,492.5
2013-06-06,491
2013-06-07,495.600006
2013-06-10,488.049988
2013-06-11,483.549988
2013-06-12,473.5
2013-06-13,475.5
2013-06-14,466.5
2013-06-17,482.5
2013-06-18,496.5
2013-06-19,490.799988
2013-06-20,483
2013-06-21,468.75
2013-06-24,468.299988
2013-06-25,465
2013-06-26,476.125
2013-06-27,461.5
2013-06-28,469.825012
2013-07-01,482.5
2013-07-02,490
2013-07-03,484.5
2013-07-04,492.450012
2013-07-05,493.100006
2013-07-08,480.825012
2013-07-09,475.549988
2013-07-10,470.049988
2013-07-11,462.5
2013-07-12,460.625
2013-07-15,453.450012
2013-07-16,454.549988
2013-07-17,462.049988
2013-07-18,444.5
2013-07-19,437.825012
2013-07-22,437.5
2013-07-23,452.549988
2013-07-24,458.5
2013-07-25,442.5
2013-07-26,440.625
2013-07-29,443.049988
2013-07-30,448
2013-07-31,444
2013-08-01,456.049988
2013-08-02,438.5
2013-08-05,428.049988
2013-08-06,428.325012
2013-08-07,428
2013-08-08,425
2013-08-12,433.75
2013-08-13,435.100006
2013-08-14,437.5
2013-08-16,436.5
2013-08-19,422.5
2013-08-20,399
2013-08-21,404
2013-08-22,387.600006
2013-08-23,395.5
2013-08-26,410
2013-08-27,400
2013-08-28,390
2013-08-29,387
2013-08-30,399.475006
2013-09-02,388
2013-09-03,384
2013-09-04,384.475006
2013-09-05,396
2013-09-06,390
2013-09-10,389.399994
2013-09-11,408.5
2013-09-12,417.950012
2013-09-13,407.450012
2013-09-16,420
2013-09-17,417
2013-09-18,424.899994
2013-09-19,431
2013-09-20,434
2013-09-23,434.399994
2013-09-24,428.5
2013-09-25,437.5
2013-09-26,423.5
2013-09-27,429
2013-09-30,420.5
2013-10-01,417.25
2013-10-03,416.625
2013-10-04,425.899994
2013-10-07,432.25
2013-10-08,432.5
2013-10-09,428.5
2013-10-10,425.600006
2013-10-11,437.5
2013-10-14,436.5
2013-10-15,433.5
2013-10-17,435.850006
